一不小心	yrt brt siu srm
残垣败壁	can wun bai bik
残奥	can ou
残奥会	can ou wui
残存	can cvn
残害	can hoi
残局	can guk
残年短景	can nin dvn gij
残废	can fri
残忍	can yrn
残败	can bai
残敌	can dik
残暴	can bou
残月	can yvt
残本	can bun
残株	can zv
残次品	can ci brn
残杀	can sat
残杀者	can sat ze
残毒	can duk
残民害物	can mrn hoi mrt
残渣	can za
残渣余孽	can za yv yip
残留	can lru
残留物	can lru mrt
残疾	can zrt
残疾人	can zrt yrn
残疾儿	can zrt yi
残破	can po
残缺	can kvt
残羹	can grj
残羹剩饭	can grj sij fan
残膜	can mok
残花败柳	can fa bai lru
残茶剩饭	can ca sij fan
残茎	can gij
残虐	can yxk
残部	can bou
残酷	can huk
残酷无情	can huk mou cij
残障	can zxj
残余	can yv
残余沾染	can yv zim yim
残余物	can yv mrt
残香	can hxj
殜殜	yip yip
殒命	wrn mij
陨命	wrn mij
殒身不恤	wrn srn brt sxt
殚力	dan lik
殚心	dan srm
殚闷	dan mun
殚残	dan can
殚竭	dan kit
殚精极虑	dan zij gik lxi
殚精竭虑	dan zij kit lxi
僵尸	gxj si
殡仪员	brn yi yvn
殡仪馆	brn yi gun
殡葬	brn zoj
殡车	brn ce
歼击	cim gik
歼击机	cim gik gei
歼灭	cim mit
段子	dvn zi
段数	dvn sou
段氏	dvn si
段玉裁	dvn yuk coi
段祺瑞	dvn kei sxi
段荃法	dvn cvn fat
段落	dvn lok
段错误	dvn co j
殷切	yrn cit
殷勤	yrn krn
殷商	yrn sxj
殷墟	yrn hxi
殷富	yrn fu
殷实	yrn srt
殷弘绪	yrn wrj sxi
殷忧启圣	yrn yru kri sij
殷殷	yrn yrn
殷红	yin huj
殷都	yrn dou
殷都区	yrn dou kxi
杀一儆百	sat yrt gij bak
杀一警百	sat yrt gij bak
杀人	sat yrn
杀人不眨眼	sat yrn brt zam jan
杀人不过头点地	sat yrn brt guo tru dim dei
杀人如麻	sat yrn yv ma
杀人放火	sat yrn foj fo
杀人未遂	sat yrn mei sxi
杀人案	sat yrn on
杀人案件	sat yrn on gin
杀人犯	sat yrn fan
杀人狂	sat yrn quoj
杀人越货	sat yrn yvt fo
杀人鲸	sat yrn kij
杀伤	sat sxj
杀伤力	sat sxj lik
杀价	sat ga
杀婴	sat yij
杀害	sat hoi
杀富济贫	sat fu zri prn
杀彘教子	sat zi gau zi
杀戮	sat luk
杀手	sat sru
杀手级应用	sat sru krp yij yuj
杀掉	sat diu
杀敌	sat dik
杀死	sat sei
杀毒软件	sat duk yvn gin
杀气	sat hei
杀气腾腾	sat hei trj trj
煞气腾腾	sat hei trj trj
杀灭	sat mit
杀熟	sat suk
杀牛宰羊	sat jru zoi yxj
杀球	sat kru
杀生	sat srj
杀真菌	sat zrn qurn
杀真菌剂	sat zrn qurn zri
杀绝	sat zvt
杀草快	sat cou fai
杀菌	sat qurn
杀菌作用	sat qurn zok yuj
杀菌剂	sat qurn zri
杀虎斩蛟	sat fu zam gau
杀螺剂	sat lo zri
杀虫	sat cuj
杀虫剂	sat cuj zri
杀虫药	sat cuj yxk
杀蠹药	sat dou yxk
杀猪宰羊	sat zv zoi yxj
杀软	sat yvn
杀进	sat zxn
杀进杀出	sat zxn sat cxt
杀鸡儆猴	sat gri gij hru
杀鸡取卵	sat gri cxi lxn
杀鸡吓猴	sat gri hak hru
杀鸡宰鹅	sat gri zoi jo
杀鸡焉用牛刀	sat gri yin yuj jru dou
杀鸡给猴看	sat gri krp hru hon
杀鸡警猴	sat gri gij hru
杀青	sat cej
杀头	sat tru
杀马特	sat ma drk
杀鼠药	sat sv yxk
壳儿	hok yi
壳幔	hok man
壳牌公司	hok pai guj si
壳牌	hok pai
壳质	hok zrt
殿下	din ha
殿堂	din toj
殿宇	din yv
殿卫	din wri
殿试	din si
殿军	din gurn
毁来性	wri loi sij
毁伤	wri sxj
毁坏	wri wai
毁家纾难	wri ga sv nan
毁容	wri yuj
毁掉	wri diu
毁损	wri svn
毁灭	wri mit
毁灭性	wri mit sij
毁约	wri yxk
毁谤	wri poj
毁除	wri cxi
毅力	jri lik
毅然	jri yin
毅然决然	jri yin kvt yin
殴打罪	ru da zxi
殴斗	ru dru
毋宁	mou nij
毋庸	mou yuj
无庸	mou yuj
毋忘	mou moj
母乳	mou yv
母乳代	mou yv doi
母乳喂养	mou yv wri yxj
母公司	mou guj si
母函数	mou ham sou
母丧	mou soj
母夜叉	mou ye ca
母女	mou nxi
母子	mou zi
母子垂直感染	mou zi sxi zik grm yim
母弹	mou dan
母爱	mou oi
母板	mou ban
母校	mou hau
母机	mou gei
母权制	mou kvn zri
母港	mou goj
母犬	mou hvn
母球	mou kru
母系	mou hri
母系社会	mou hri se wui
母线	mou sin
母群体	mou qurn tri
母老虎	mou lou fu
母船	mou svn
母蜂	mou fuj
母亲	mou crn
母亲节	mou crn zit
母语	mou yv
母质	mou zrt
母鸡	mou gri
母难日	mou nan yrt
母音	mou yrm
母音调和	mou yrm tiu wo
母题	mou tri
母体	mou tri
母党	mou doj
每一	mui yrt
每人	mui yrn
每个人	mui go yrn
每分每秒	mui frn mui miu
每夜	mui ye
每天	mui tin
每常	mui sxj
每年	mui nin
每年一度	mui nin yrt dou
每日	mui yrt
每日快报	mui yrt fai bou
每日新闻	mui yrt srn mrn
每日邮报	mui yrt yru bou
每日镜报	mui yrt gej bou
每日限价	mui yrt han ga
每日电讯报	mui yrt din sxn bou
每时每刻	mui si mui hrk
每时每日	mui si mui yrt
每月	mui yvt
每次	mui ci
每况愈下	mui foj yv ha
每下愈况	mui ha yv foj
每当	mui doj
每端口价格	mui dvn hru ga gak
每处	mui cv
每逢	mui fuj
每逢佳节倍思亲	mui fuj gai zit pui si crn
每周	mui zru
每周一次	mui zru yrt ci
每隔	mui gak
毒刺	duk ci
毒剂	duk zri
毒剂弹	duk zri dan
毒剂震检	duk zri zrn gim
毒力	duk lik
毒化	duk fa
毒品	duk brn
毒奶	duk nai
毒奶粉	duk nai frn
毒害	duk hoi
毒害剂量	duk hoi zri lxj
毒性	duk sij
毒感	duk grm
毒手	duk sru
毒打	duk da
毒株	duk zv
毒枭	duk hiu
毒杀	duk sat
毒气	duk hei
毒气弹	duk hei dan
毒液	duk yik
毒爪	duk zau
毒牙	duk ja
毒物	duk mrt
毒理学	duk lei hok
毒瓦斯	duk ja si
毒瘤	duk lru
毒瘾	duk yrn
毒素	duk sou
毒腺	duk sin
毒草名	duk cou mej
毒莠定	duk yru dij
毒蕈	duk crm
毒药	duk yxk
毒蛇	duk se
毒蝇伞	duk yij san
毒贩	duk fan
毒资	duk zi
毒辣	duk lat
毒针	duk zrm
毒颚	duk jok
毓婷	yuk tij
比一比	bei yrt bei
比上不足比下有余	bei sxj brt zuk bei ha yru yv
比下去	bei ha hxi
比不上	bei brt sxj
比丘	bei yru
比丘尼	bei yru nei
比亚	bei a
比亚迪	bei a dik
比亚迪汽车	bei a dik hei ce
比什凯克	bei srp hoi hrk
比佛利山	bei frt lei san
比来	bei loi
比例尺	bei lri cek
比值	bei zik
比价	bei ga
比分	bei frn
比利	bei lei
比利时	bei lei si
比利牛斯	bei lei jru si
比利牛斯山	bei lei jru si san
比划	bei wak
比画	bei wak
比勒费尔德	bei lrk fri yi drk
比勒陀利亚	bei lrk to lei a
比哈尔邦	bei ha yi boj
比喻	bei yv
比喻义	bei yv yi
比埃兹巴伯	bei oi zi ba bak
比基尼	bei gei nei
比坚尼	bei gin nei
比基尼岛	bei gei nei dou
比如	bei yv
比如县	bei yv yvn
比威力	bei wri lik
比安	bei on
比容	bei yuj
比对	bei dxi
比干	bei gon
比年	bei nin
比手划脚	bei sru wak gxk
比才	bei coi
比拼	bei pij
比捕	bei bou
比拟	bei yi
比斯特	bei si drk
比斯开湾	bei si hoi wan
比方	bei foj
比方说	bei foj svt
比杆赛	bei gon coi
比武	bei mou
比比皆是	bei bei gai si
比氏鹟莺	bei si yuj rj
比湿	bei srp
比照	bei ziu
比热	bei yit
比尔	bei yi
比尔博	bei yi bok
比特	bei drk
比特币	bei drk bri
比特犬	bei drk hvn
比率	bei lxt
比登天还难	bei drj tin wan nan
比目鱼	bei muk yv
比索	bei sok
比绍	bei siu
比翼	bei yik
比翼双飞	bei yik sxj fei
比翼齐飞	bei yik cri fei
比肩	bei gin
比腕力	bei wun lik
比色分析	bei sik frn sik
比萨	bei sat
比萨斜塔	bei sat ce tap
比萨饼	bei sat bej
比试	bei si
比赛	bei coi
比赛场	bei coi cxj
比赛项目	bei coi hoj muk
比起	bei hei
比较	bei gau
比较分析	bei gau frn sik
比较喜欢	bei gau hei fun
比较文学	bei gau mrn hok
比较级	bei gau krp
比较而言	bei gau yi yin
比邻	bei lxn
比重	bei cuj
比量	bei lxj
毗湿奴	pei srp nou
毗耶娑	pei ye so
毗连	pei lin
毗邻	pei lxn
毛主席	mou zv zik
毛主席纪念堂	mou zv zik gei nim toj
毛主席语录	mou zv zik yv luk
毛主义	mou zv yi
毛出在羊身上	mou cxt zoi yxj srn sxj
毛利	mou lei
毛刷	mou cat
毛刺	mou ci
毛南族	mou nam zuk
毛口	mou hru
毛哔叽	mou brt gei
毛囊	mou noj
毛坯	mou pui
毛塑像	mou sou zxj
毛姆	mou mou
毛子	mou zi
毛子国	mou zi guok
毛孔	mou huj
毛孩子	mou hai zi
毛小囊	mou siu noj
毛巾	mou grn
毛手毛脚	mou sru mou gxk
毛拉	mou lai
毛收入	mou sru yrp
毛料	mou liu
毛根	mou grn
毛条	mou tiu
毛概	mou koi
毛毛	mou mou
毛毛虫	mou mou cuj
毛毛雨	mou mou yv
毛毯	mou tan
毛毡	mou zin
毛洋槐	mou yxj wai
毛派	mou pai
毛泽东	mou zak duj
毛泽东主义	mou zak duj zv yi
毛泽东思想	mou zak duj si sxj
毛片	mou pin
毛痣	mou zi
毛皮	mou pei
毛窝	mou wo
毛竹	mou zuk
南竹	nam zuk
孟宗竹	maj zuj zuk
楠竹	nam zuk
茅竹	mau zuk
毛细	mou sri
毛细孔	mou sri huj
毛细血管	mou sri hvt gun
毛绒玩具	mou yuj wun gxi
毛绒绒	mou yuj yuj
毛线	mou sin
毛线衣	mou sin yi
毛线针	mou sin zrm
毛织物	mou zik mrt
毛织运动衫	mou zik wrn duj sam
毛肚	mou tou
毛腰	mou yiu
毛脚渔鸮	mou gxk yv hiu
毛腿沙鸡	mou txi sa gri
毛腿耳夜鹰	mou txi yi ye yij
毛腿鵟	mou txi quoj
毛色	mou sik
毛茛	mou grn
毛茶	mou ca
毛茸茸	mou yuj yuj
毛虫	mou cuj
毛血旺	mou hvt woj
毛衣	mou yi
毛豆	mou dru
毛象	mou zxj
毛猪	mou zv
毛遂	mou sxi
毛遂自荐	mou sxi zi zin
毛边	mou bin
毛边纸	mou bin zi
毛邓三	mou drj sam
毛酸浆	mou svn zxj
毛里塔尼亚	mou lei tap nei a
毛里求斯	mou lei kru si
毛重	mou cuj
毛驴	mou lxi
毛骨悚然	mou gurt suj yin
毛发	mou fat
毫不	hou brt
毫不介意	hou brt gai yi
毫不客气	hou brt hak hei
毫不怀疑	hou brt wai yi
毫不犹豫	hou brt yru yv
毫不留情	hou brt lru cij
毫不费力	hou brt fri lik
毫不逊色	hou brt sxn sik
毫克	hou hrk
毫升	hou sij
毫安	hou on
毫巴	hou ba
毫微	hou mei
毫微米	hou mei mri
毫毛	hou mou
毫无	hou mou
毫无二致	hou mou yi zi
毫无效果	hou mou hau guo
毫无疑问	hou mou yi mrn
毫无逊色	hou mou sxn sik
毫瓦	hou ja
毫秒	hou miu
毫米	hou mri
毫米水银柱	hou mri sxi jrn cv
毫米汞柱	hou mri huj cv
毫米波	hou mri bo
毫厘不爽	hou lei brt soj
毫针	hou zrm
毫发	hou fat
毫发不爽	hou fat brt soj
毯子	tan zi
毽子	yin zi
牦牛	lei jru
毡子	zin zi
毡靴	zin hx
氏族	si zuk
民不聊生	mrn brt liu srj
民主	mrn zv
民主主义	mrn zv zv yi
民主主义者	mrn zv zv yi ze
民主化	mrn zv fa
民主建港协进联盟	mrn zv gin goj hip zxn lvn mrj
民主政治	mrn zv zij zi
民主派	mrn zv pai
民主墙	mrn zv cxj
民主进步党	mrn zv zxn bou doj
民主集中制	mrn zv zap zuj zri
民主革命	mrn zv gak mij
民主党	mrn zv doj
民主党人	mrn zv doj yrn
民事	mrn si
民事诉讼	mrn si sou zuj
民事责任	mrn si zak yrm
民以食为天	mrn yi sik wri tin
民俗	mrn zuk
民俗学	mrn zuk hok
民兵	mrn bij
民勤	mrn krn
民勤县	mrn krn yvn
民和	mrn wo
民和回族土族自治县	mrn wo wui zuk tou zuk zi zi yvn
民和县	mrn wo yvn
民国	mrn guok
民国通俗演义	mrn guok tuj zuk yin yi
民团	mrn tvn
民女	mrn nxi
民宅	mrn zak
民家	mrn ga
民宿	mrn suk
民居	mrn gxi
民工	mrn guj
民庭	mrn tij
民建联	mrn gin lvn
民心	mrn srm
民怨	mrn yvn
民怨沸腾	mrn yvn fri trj
民怨鼎沸	mrn yvn dij fri
民情	mrn cij
民意	mrn yi
民意测验	mrn yi cak yim
民意调查	mrn yi diu ca
民房	mrn foj
民政	mrn zij
民政厅	mrn zij tej
民政部	mrn zij bou
民数记	mrn sou gei
民族主义	mrn zuk zv yi
民族主义情绪	mrn zuk zv yi cij sxi
民族团结	mrn zuk tvn git
民族大学	mrn zuk dai hok
民族大迁徙	mrn zuk dai cin sai
民族学	mrn zuk hok
民族工业	mrn zuk guj yip
民族平等	mrn zuk pij drj
民族志	mrn zuk zi
民族社会主义	mrn zuk se wui zv yi
民族自决	mrn zuk zi kvt
民族舞蹈	mrn zuk mou dou
民族英雄	mrn zuk yij huj
民族杂居地区	mrn zuk zap gxi dei kxi
民乐	mrn jok
民乐县	mrn jok yvn
民权	mrn kvn
民权主义	mrn kvn zv yi
民权县	mrn kvn yvn
民歌手	mrn go sru
民法	mrn fat
民法典	mrn fat din
民营	mrn yij
民营化	mrn yij fa
民爆	mrn bau
民生主义	mrn srj zv yi
民生凋敝	mrn srj diu bri
民用	mrn yuj
民用核国家	mrn yuj hrt guok ga
民盟	mrn mrj
民众	mrn zuj
民穷财尽	mrn kuj coi zxn
民答那峨海	mrn dap na jo hoi
民粹主义	mrn sxi zv yi
民粹派	mrn sxi pai
民脂民膏	mrn zi mrn gou
民航	mrn hoj
民航班机	mrn hoj ban gei
民调	mrn diu
民谚	mrn yin
民谣	mrn yiu
民警	mrn gij
民变	mrn bin
民变峰起	mrn bin fuj hei
民丰	mrn fuj
民丰县	mrn fuj yvn
民资	mrn zi
民贼独夫	mrn cak duk fu
民办	mrn ban
民进党	mrn zxn doj
民运	mrn wrn
民选	mrn svn
民间	mrn gan
民间传说	mrn gan cvn svt
民间故事	mrn gan gu si
民间组织	mrn gan zou zik
民间习俗	mrn gan zap zuk
民间舞	mrn gan mou
民间舞蹈	mrn gan mou dou
民间艺术	mrn gan jri sxt
民间音乐	mrn gan yrm jok
民雄	mrn huj
民雄乡	mrn huj hxj
民风	mrn fuj
氘核	dou hrt
氛围	frn wri
氟利昂	frt lei joj
氟化	frt fa
氟化氢	frt fa hij
氟化物	frt fa mrt
氟石	frt sek
氟硅酸	frt guri svn
氟骨症	frt gurt zij
氟骨病	frt gurt bej
气不公	hei brt guj
气不平	hei brt pij
气不忿儿	hei brt frn yi
气不过	hei brt guo
气人	hei yrn
气候学	hei hru hok
气候学家	hei hru hok ga
气候暖化	hei hru nvn fa
气候温和	hei hru wrn wo
气候状况	hei hru zoj foj
气候变化	hei hru bin fa
气像人员	hei zxj yrn yvn
气冷式反应堆	hei laj sik fan yij dxi
气凝胶	hei yij gau
气力	hei lik
气功	hei guj
气动	hei duj
气动噪声	hei duj cou sij
气动式	hei duj sik
气动控制	hei duj huj zri
气动泵	hei duj brm
气动葫芦	hei duj wu lou
气动开关	hei duj hoi guan
气动闸	hei duj zap
气势	hei sri
气势凌人	hei sri lij yrn
气势宏伟	hei sri wrj wri
气势汹汹	hei sri huj huj
气包子	hei bau zi
气化	hei fa
气口	hei hru
气吁吁	hei hxi hxi
气呼呼	hei fu fu
气咻咻	hei yru yru
气哼哼	hei hrj hrj
气喘	hei cvn
气喘吁吁	hei cvn hxi hxi
气喘喘	hei cvn cvn
气喘如牛	hei cvn yv jru
气喘病	hei cvn bej
气囊	hei noj
气圈	hei hvn
气团	hei tvn
气塞	hei srk
气垫	hei zin
气垫船	hei zin svn
气压	hei at
气压表	hei at biu
气压计	hei at gri
气壮山河	hei zoj san ho
气孔	hei huj
气宇	hei yv
气宇轩昂	hei yv hin joj
器宇轩昂	hei yv hin joj
气定神闲	hei dij srn han
气密	hei mrt
气度	hei dou
气度恢宏	hei dou fui wrj
气急败坏	hei grp bai wai
气息	hei sik
气息奄奄	hei sik yim yim
气恼	hei nou
气态	hei tai
气愤	hei frn
气数	hei sou
气旋	hei svn
气昂昂	hei joj joj
气概	hei koi
气枪	hei cxj
气楼	hei lru
气死	hei sei
气冲冲	hei cuj cuj
气泡	hei pou
气泡布	hei pou bou
气泡膜	hei pou mok
气泵	hei brm
气派	hei pai
气流	hei lru
气温	hei wrn
气溶胶	hei yuj gau
气溶胶侦察仪	hei yuj gau zij cat yi
气滞	hei zri
气潭	hei tam
气炸	hei za
气焊	hei hon
气煤	hei mui
气球	hei kru
气瓶	hei pij
气田	hei tin
气盛	hei sij
气筒	hei tuj
气管	hei gun
气管切开术	hei gun cit hoi sxt
气管插管术	hei gun cap gun sxt
气管炎	hei gun yim
气管痉挛	hei gun gij lvn
气节	hei zit
气笼	hei luj
气粗	hei cou
气绝	hei zvt
气缸	hei goj
气胸	hei huj
气色	hei sik
气虚	hei hxi
气血	hei hvt
气冲牛斗	hei cuj jru dru
气冲霄汉	hei cuj siu hon
气话	hei wa
气象	hei zxj
气象台	hei zxj toi
气象学	hei zxj hok
气象学者	hei zxj hok ze
气象局	hei zxj guk
气象厅	hei zxj tej
气象站	hei zxj zam
气象卫星	hei zxj wri sij
气象观测站	hei zxj gun cak zam
气贯长虹	hei gun cxj huj
气逆	hei yik
气道	hei dou
气量	hei lxj
气锤	hei cxi
气钻	hei zvn
气门	hei mun
气闸	hei zap
气阱	hei zij
气陷	hei ham
气隙	hei quik
气雾免疫	hei mou min yik
气雾剂	hei mou zri
气雾室	hei mou srt
气韵	hei wrn
气头上	hei tru sxj
气馁	hei nxi
气体	hei tri
气体扩散	hei tri quoj san
气体离心	hei tri lei srm
气鸣乐器	hei mij jok hei
气鼓鼓	hei gu gu
氤氲	yrn wrn
氧乙炔	yxj yvt kvt
氧乙炔炬	yxj yvt kvt gxi
氧乙炔焊	yxj yvt kvt hon
氧乙炔焊炬	yxj yvt kvt hon gxi
氧割	yxj got
氧化	yxj fa
氧化剂	yxj fa zri
氧化汞	yxj fa huj
氧化物	yxj fa mrt
氧化罐	yxj fa gun
氧化钙	yxj fa koi
氧化铀	yxj fa yru
氧化铝	yxj fa lxi
氧化锌	yxj fa srn
氧化镁	yxj fa mei
氧原子	yxj yvn zi
氧基	yxj gei
氧效应	yxj hau yij
氧气	yxj hei
氧炔吹管	yxj kvt cxi gun
氨吖啶	on a dij
氨哮素	on hau sou
氨基	on gei
氨基比林	on gei bei lrm
氨基甲酸酯类化合物	on gei gap svn zi lxi fa hrp mrt
氨基苯酸	on gei bun svn
氨基葡糖	on gei pou toj
氨基葡萄糖	on gei pou tou toj
氨基酸	on gei svn
氨气	on hei
氨纶	on lxn
氪气石	hrk hei sek
氢化	hij fa
氢化氰	hij fa cij
氢原子	hij yvn zi
氢原子核	hij yvn zi hrt
氢弹	hij dan
氢氟烃	hij frt tij
氢氟酸	hij frt svn
氢气	hij hei
氢氧	hij yxj
氢氧化	hij yxj fa
氢氧化物	hij yxj fa mrt
氢氧化钠	hij yxj fa nap
氢氧化钙	hij yxj fa koi
氢氧化钾	hij yxj fa gap
氢氧化铝	hij yxj fa lxi
氢氧根	hij yxj grn
氢氧根离子	hij yxj grn lei zi
氢氧离子	hij yxj lei zi
氢氯酸	hij luk svn
氢净合成油	hij zij hrp sij yru
氢溴酸	hij cru svn
氢酶	hij mui
氢键	hij gin
氢卤酸	hij lou svn
氮气	dam hei
氮氧化物	dam yxj fa mrt
氮芥气	dam gai hei
氯丁橡胶	luk dij zxj gau
氯乙烯	luk yvt hei
氯仿	luk foj
氯化氢	luk fa hij
氯化氰	luk fa cij
氯化物	luk fa mrt
氯化苦	luk fa fu
氯化钠	luk fa nap
氯化钙	luk fa koi
氯化钾	luk fa gap
氯化铵	luk fa on
氯化铝	luk fa lxi
氯化锌	luk fa srn
氯单质	luk dan zrt
氯喹	luk fui
氯安酮	luk on tuj
氯已烯	luk yi hei
氯林可霉素	luk lrm ho mui sou
氯气	luk hei
氯洁霉素	luk git mui sou
氯甲烷	luk gap yvn
氯痤疮	luk co coj
氯磷定	luk lxn dij
氯纶	luk lxn
氯胺酮	luk on tuj
氯苯	luk bun
氯酸	luk svn
氯酸钠	luk svn nap
氯酸钾	luk svn gap
氯霉素	luk mui sou
氰化	cij fa
氰化物	cij fa mrt
氰化钠	cij fa nap
氰化钾	cij fa gap
氰基	cij gei
氰基细菌	cij gei sri qurn
氰氨化钙	cij on fa koi
氰溴甲苯	cij cru gap bun
氰苷	cij grm
氰酸	cij svn
氰酸盐	cij svn yim
水上	sxi sxj
水上摩托	sxi sxj mo tok
水上芭蕾	sxi sxj ba lxi
水上运动	sxi sxj wrn duj
水上乡	sxi sxj hxj
水上飞机	sxi sxj fei gei
水下	sxi ha
水下核爆炸	sxi ha hrt bau za
水下核试验	sxi ha hrt si yim
水中捞月	sxi zuj lau yvt
水井	sxi zej
水亮	sxi lxj
水仙	sxi sin
水仙花	sxi sin fa
水位	sxi wri
水俣市	sxi yv si
水俣病	sxi yv bej
水兵	sxi bij
水冰	sxi bij
水分	sxi frn
水刑	sxi yij
水刑逼供	sxi yij bik guj
水利家	sxi lei ga
水利工程	sxi lei guj cij
水到渠成	sxi dou kxi sij
水力	sxi lik
水力学	sxi lik hok
水力发电	sxi lik fat din
水力发电站	sxi lik fat din zam
水力鼓风	sxi lik gu fuj
水印	sxi yrn
水原	sxi yvn
水原市	sxi yvn si
水合	sxi hrp
水合物	sxi hrp mrt
水圈	sxi hvn
水土	sxi tou
水土不服	sxi tou brt fuk
